City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Radlje Ob Dravi,SI,2020-11-02 21:18:35,46.61,15.23,55.99,53,86,3.18
124,Clyde River,CA,2020-11-02 21:18:35,70.47,-68.59,12.2,85,20,19.46
125,Vila Velha,BR,2020-11-02 21:16:10,-20.33,-40.29,73.4,53,40,18.34
126,Hilo,US,2020-11-02 21:17:57,19.73,-155.09,82.4,65,90,4.7
127,Ribeira Grande,PT,2020-11-02 21:18:36,38.52,-28.7,60.8,59,75,8.05
128,Jutai,BR,2020-11-02 21:18:36,-5.18,-68.9,86.88,64,90,2.17
129,Kodinsk,RU,2020-11-02 21:18:37,58.69,99.18,24.3,96,43,7.31
130,Asosa,ET,2020-11-02 21:18:38,10.07,34.53,63.63,89,26,4.52
131,Abha,SA,2020-11-02 21:18:05,18.22,42.51,59.0,54,0,1.3
132,Longyearbyen,SJ,2020-11-02 21:15:44,78.22,15.64,37.4,69,75,43.62
133,Vardo,NO,2020-11-02 21:18:38,70.37,31.11,37.4,93,75,27.51
134,Leek,NL,2020-11-02 21:18:39,53.16,6.38,53.01,76,20,12.75
135,Salalah,OM,2020-11-02 21:18:39,17.02,54.09,77.0,57,0,5.82
136,Shahrud,IR,2020-11-02 21:18:40,36.42,54.98,55.98,38,99,1.32
137,Hobart,AU,2020-11-02 21:18:33,-42.88,147.33,66.0,63,75,11.41
138,Wewak,PG,2020-11-02 21:18:41,-3.55,143.63,79.18,80,100,4.83
139,Mahina,PF,2020-11-02 21:18:41,-17.51,-149.49,84.2,66,75,5.82
140,Buraydah,SA,2020-11-02 21:18:41,26.33,43.98,68.0,34,0,2.24
141,Port-Gentil,GA,2020-11-02 21:18:41,-0.72,8.78,78.8,88,20,6.93
142,Nuqui,CO,2020-11-02 21:18:41,5.71,-77.27,79.77,81,51,10.85
143,Sao Desiderio,BR,2020-11-02 21:17:04,-12.36,-44.97,72.97,85,82,6.24
144,Ixtapa,MX,2020-11-02 21:17:45,20.7,-105.2,87.8,66,5,11.41
145,San Policarpo,PH,2020-11-02 21:18:42,12.18,125.51,77.81,85,100,6.2
146,De Aar,ZA,2020-11-02 21:18:43,-30.65,24.01,72.55,24,0,7.4
147,Alofi,NU,2020-11-02 21:18:43,-19.06,-169.92,77.0,88,75,19.46
148,Kieta,PG,2020-11-02 21:18:43,-6.22,155.63,82.85,71,15,1.77
149,Cap Malheureux,MU,2020-11-02 21:18:43,-19.98,57.61,68.0,69,38,1.99
150,Pontes E Lacerda,BR,2020-11-02 21:14:58,-15.23,-59.34,88.75,38,61,3.13
151,Ponta Delgada,PT,2020-11-02 21:18:44,37.73,-25.67,62.6,67,75,9.17
152,Faanui,PF,2020-11-02 21:18:44,-16.48,-151.75,79.56,79,3,15.52
153,Yar-Sale,RU,2020-11-02 21:18:44,66.83,70.83,17.06,94,27,8.84
154,Gijon,ES,2020-11-02 21:15:45,43.54,-5.66,57.0,87,100,3.33
155,Bengkulu,ID,2020-11-02 21:18:44,-3.8,102.27,74.89,89,100,5.46
156,Half Moon Bay,US,2020-11-02 21:14:45,37.46,-122.43,81.0,68,1,4.7
157,Lompoc,US,2020-11-02 21:17:37,34.64,-120.46,73.4,68,1,14.99
158,Saint-Denis,FR,2020-11-02 21:15:52,48.92,2.33,53.6,71,0,8.05
159,Sibu,MY,2020-11-02 21:18:45,2.3,111.82,75.2,94,40,3.36
160,Pisco,PE,2020-11-02 21:14:24,-13.7,-76.22,66.2,77,90,10.29
161,Sakhon Nakhon,TH,2020-11-02 21:18:45,17.16,104.15,69.39,86,53,6.11
162,Souillac,MU,2020-11-02 21:18:46,-20.52,57.52,69.8,77,75,11.41
163,San Carlos De Bariloche,AR,2020-11-02 21:18:46,-41.15,-71.31,68.0,32,75,16.11
164,Port Hardy,CA,2020-11-02 21:15:02,50.7,-127.42,50.0,93,90,20.8
165,Knysna,ZA,2020-11-02 21:18:46,-34.04,23.05,60.8,100,90,8.05
166,Port Augusta,AU,2020-11-02 21:18:47,-32.5,137.77,60.8,59,1,6.93
