City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Buala,SB,-8.14,159.59,86.11,66,85,6.8,overcast clouds
158,Sarai,RU,53.75,41.02,41.72,91,0,1.66,clear sky
159,Chokurdakh,RU,70.63,147.92,-16.11,82,0,3.18,clear sky
160,Arraial Do Cabo,BR,-22.97,-42.03,68.52,83,100,20.76,overcast clouds
161,Bayonet Point,US,28.33,-82.68,66.0,70,0,12.53,clear sky
162,Yangambi,CD,0.81,24.43,70.61,98,100,1.1,light rain
163,Katsuura,JP,35.13,140.3,64.0,51,20,6.93,few clouds
164,Kalininskaya,RU,45.48,38.66,52.0,87,0,8.95,clear sky
165,Cabedelo,BR,-6.98,-34.83,78.8,83,20,8.05,few clouds
166,Preobrazheniye,RU,42.9,133.91,38.17,62,0,14.65,clear sky
167,Clyde River,CA,70.47,-68.59,8.6,78,1,20.8,clear sky
168,Tomball,US,30.1,-95.62,62.01,57,0,4.59,clear sky
169,Ojinaga,MX,29.57,-104.42,69.8,30,1,4.7,clear sky
170,Yar-Sale,RU,66.83,70.83,25.18,98,99,4.18,overcast clouds
171,Ocean City,US,39.28,-74.57,52.0,80,1,4.97,clear sky
172,Omsukchan,RU,62.53,155.8,14.77,94,100,8.19,light snow
173,Springville,US,40.17,-111.61,63.0,50,20,9.17,few clouds
174,Bolgar,RU,54.95,49.07,33.8,100,90,2.24,fog
175,Tasiilaq,GL,65.61,-37.64,33.8,86,100,38.03,light rain
176,New Norfolk,AU,-42.78,147.06,69.8,43,75,17.22,broken clouds
177,Dikson,RU,73.51,80.55,2.68,92,0,7.27,clear sky
178,Nizwa,OM,22.93,57.53,64.31,27,0,1.9,clear sky
179,Iqaluit,CA,63.75,-68.51,12.2,78,20,23.04,few clouds
180,Syracuse,IT,37.09,15.28,57.99,93,40,5.82,scattered clouds
181,Campo Maior,BR,-4.83,-42.17,75.54,89,100,1.54,overcast clouds
182,Lavrentiya,RU,65.58,-171.0,16.29,85,0,10.6,clear sky
183,Faanui,PF,-16.48,-151.75,79.59,81,100,18.3,light rain
184,Thinadhoo,MV,0.53,72.93,83.01,71,94,5.14,overcast clouds
185,Mackay,AU,-21.15,149.2,84.0,51,8,11.41,clear sky
186,Saint Anthony,US,45.02,-93.22,64.4,42,1,5.82,clear sky
187,Porto Walter,BR,-8.27,-72.74,77.61,69,90,1.83,overcast clouds
188,Sipe Sipe,BO,-17.45,-66.38,66.2,34,63,8.05,broken clouds
189,Quatre Cocos,MU,-20.21,57.76,69.8,73,40,9.17,shower rain
190,Boguchany,RU,58.38,97.45,25.25,95,100,8.75,overcast clouds
191,Te Anau,NZ,-45.42,167.72,63.16,73,80,5.61,broken clouds
192,Rajaldesar,IN,28.03,74.47,74.05,18,0,8.32,clear sky
193,Waingapu,ID,-9.66,120.26,90.0,49,17,8.25,few clouds
194,Ossora,RU,59.24,163.07,41.34,92,100,30.78,moderate rain
195,Hami,CN,42.8,93.45,48.45,44,0,7.23,clear sky
196,Ingham,US,42.6,-84.38,53.6,50,1,3.36,clear sky
197,Letpadan,MM,17.78,95.75,83.82,77,0,4.18,light rain
198,Dwarka,IN,22.24,68.97,80.71,46,0,7.31,clear sky
199,Pevek,RU,69.7,170.31,-1.44,90,29,9.91,scattered clouds
200,Los Llanos De Aridane,ES,28.66,-17.92,71.6,73,75,11.41,broken clouds
201,Georgetown,MY,5.41,100.34,80.6,78,20,3.36,moderate rain
202,Eureka,US,40.8,-124.16,55.0,91,43,3.98,scattered clouds
203,Ponta Do Sol,PT,32.67,-17.1,64.4,68,75,16.11,light intensity shower rain
204,Hammerfest,NO,70.66,23.68,41.0,65,0,19.46,clear sky
205,Kaeo,NZ,-35.1,173.78,69.01,85,100,13.0,moderate rain
206,Mariinsk,RU,56.21,87.75,28.87,93,96,9.78,overcast clouds
207,Shunyi,CN,40.12,116.65,50.0,36,0,2.24,clear sky
208,Saldanha,ZA,-33.01,17.94,60.8,93,49,6.04,scattered clouds
209,Naze,JP,28.37,129.48,69.8,60,75,16.11,broken clouds
210,Semnan,IR,35.57,53.4,53.85,38,60,2.04,broken clouds
211,High Level,CA,58.52,-117.14,15.8,92,90,10.29,light snow
212,Bondo,CD,3.81,23.69,69.08,97,87,1.45,overcast clouds
213,Shubarkuduk,KZ,49.14,56.49,43.72,59,0,12.95,clear sky
214,Dingle,PH,11.0,122.67,84.16,77,100,4.09,moderate rain
215,Husavik,IS,66.04,-17.34,39.2,69,0,14.99,light rain
216,Kamaishi,JP,39.27,141.88,46.4,75,40,6.93,scattered clouds
217,Fuerte Olimpo,PY,-21.04,-57.87,73.29,47,0,4.18,clear sky
218,Elko,US,41.0,-115.5,59.0,28,1,2.35,clear sky
219,Uddevalla,SE,58.35,11.94,42.01,93,99,3.36,overcast clouds
220,Yumen,CN,40.28,97.2,47.1,43,51,14.83,broken clouds
221,Taltal,CL,-25.4,-70.48,56.34,77,30,2.55,scattered clouds
222,Henties Bay,NA,-22.12,14.28,57.99,91,0,6.26,clear sky
223,Sinjai,ID,-5.12,120.25,86.81,66,84,7.67,light rain
224,Ketchikan,US,55.34,-131.65,42.8,74,90,5.17,overcast clouds
225,Shubarshi,KZ,48.59,57.19,43.07,62,0,12.48,clear sky
226,Mount Gambier,AU,-37.83,140.77,60.8,59,90,17.22,overcast clouds
227,San Patricio,US,28.02,-97.52,66.99,77,1,4.7,clear sky
228,Ndele,CF,8.41,20.65,74.75,56,91,1.3,overcast clouds
229,Bembereke,BJ,10.23,2.66,75.36,43,100,2.73,overcast clouds
230,Aksu,CN,41.12,80.26,48.4,45,3,0.63,clear sky
231,Kampot,KH,10.62,104.18,86.0,55,0,5.82,clear sky
232,Kirakira,SB,-10.45,161.92,84.7,70,100,7.61,overcast clouds
233,Whitehorse,CA,60.72,-135.05,3.2,77,75,4.7,light snow
234,Souillac,MU,-20.52,57.52,69.8,73,40,9.17,shower rain
235,Boden,SE,65.83,21.69,37.4,86,0,4.7,clear sky
236,Surt,LY,31.21,16.59,66.11,71,0,6.4,clear sky
237,Saint George,US,37.1,-113.58,75.2,22,1,1.66,clear sky
238,Alyangula,AU,-13.85,136.42,91.4,52,100,11.41,overcast clouds
239,Staraya Mayna,RU,54.6,48.95,33.8,100,90,2.24,fog
240,Ballina,AU,-28.87,153.57,80.01,56,0,10.29,clear sky
241,Campagna,IT,40.67,15.11,57.99,83,95,1.01,overcast clouds
242,Sacele,RO,45.62,25.69,46.0,85,100,2.24,overcast clouds
243,Kudus,ID,-6.8,110.84,87.37,64,100,9.55,moderate rain
244,Belmonte,BR,-15.86,-38.88,68.0,94,90,4.7,mist
245,Salalah,OM,17.02,54.09,69.8,56,0,3.36,clear sky
246,Pangnirtung,CA,66.15,-65.71,18.28,82,100,5.84,overcast clouds
247,Tiksi,RU,71.69,128.87,8.28,95,100,5.77,overcast clouds
248,Bredasdorp,ZA,-34.53,20.04,66.2,93,62,3.36,broken clouds
249,Northam,GB,51.03,-4.22,37.0,93,2,1.99,clear sky
250,Talakan,RU,50.32,130.37,22.96,83,0,9.19,clear sky
